name,prompts_count,volume,volume_trend,intents
Robô aspirador com mapeamento WAP W1000,19,5033,23;15;15;24;52;53;53;100;92;93;94;99,task:2;informational:63;navigational:5;commercial:20;transactional:10
Makita Sopradores e Aspiradores,21,2637,53;77;80;77;84;91;90;97;100;96;95;94,task:7;informational:58;navigational:5;commercial:12;transactional:18
Aparadores modernos,15,655,83;97;100;89;83;83;90;74;74;71;71;71,task:2;informational:48;navigational:4;commercial:35;transactional:11
Vaporizadores e Higienizadores para Limpeza,62,18641,27;32;34;92;100;100;100;95;90;90;90;90,task:5;informational:44;navigational:5;commercial:28;transactional:18
Umidificadores Ultrassônicos,20,1227,70;79;79;40;99;100;100;29;31;31;29;29,task:2;informational:72;navigational:6;commercial:15;transactional:5
limpeza multiuso,18,4234,22;28;53;57;95;94;95;96;100;100;98;98,task:8;informational:52;navigational:2;commercial:34;transactional:4
Desentupidores Manuais,16,176,41;44;55;54;76;79;74;100;56;55;71;73,task:6;informational:32;navigational:5;commercial:22;transactional:35
Aspirateurs balai et sans fil,16,118,30;36;38;41;79;69;91;100;58;37;36;37,task:10;informational:42;navigational:4;commercial:36;transactional:8
Aspiradores de pó Electrolux 1600W sem saco,29,3775,84;100;100;49;51;54;55;57;60;60;63;62,task:1;informational:56;navigational:5;commercial:22;transactional:16
Peças e Acessórios para Aspirador Electrolux,20,3210,66;86;86;77;95;99;100;75;80;80;81;83,task:2;informational:13;navigational:25;commercial:40;transactional:20
Escova Secadora Multilaser,18,322,90;100;99;65;61;63;62;98;55;62;60;59,task:2;informational:58;navigational:10;commercial:17;transactional:13
Pistolas de ar para limpeza,18,294,69;99;100;96;97;100;97;86;82;82;91;89,task:7;informational:52;navigational:5;commercial:22;transactional:14
filtros HEPA para aspiradores,35,13748,21;57;26;73;85;86;87;99;100;100;100;100,task:2;informational:72;navigational:8;commercial:15;transactional:3
Mini Exaustores Domésticos,16,349,31;40;40;43;39;41;39;89;100;51;47;34,task:1;informational:57;navigational:5;commercial:22;transactional:15
Desentupidora SOS,15,588,20;21;45;46;91;91;91;100;100;100;100;100,task:2;informational:55;navigational:15;commercial:15;transactional:13
mini mop e mop portátil,18,381,39;72;61;44;55;54;50;100;87;40;40;47,task:7;informational:39;navigational:8;commercial:24;transactional:22
Aparadores de Cama,15,972,17;24;37;26;26;24;26;30;29;33;29;100,task:10;informational:34;navigational:4;commercial:35;transactional:17
Desentupidora Ligeirinho,15,42,85;89;100;94;94;94;94;94;96;96;96;96,task:3;informational:12;navigational:70;commercial:7;transactional:8
Mops a vapor e mop elétrico,27,1489,89;100;98;56;68;71;72;96;58;58;60;60,task:2;informational:37;navigational:1;commercial:44;transactional:16
Aspiradores Electrolux Easy Box,20,1200,56;68;71;68;99;99;100;81;96;93;93;93,task:2;informational:56;navigational:10;commercial:16;transactional:16
Aspiradores Electrolux Vermelhos,16,386,30;37;41;36;60;69;44;59;54;100;91;97,task:10;informational:37;navigational:12;commercial:21;transactional:20
Vaporização e higienização de estofados,22,10856,25;14;15;89;99;100;100;91;93;93;94;93,task:2;informational:59;navigational:4;commercial:23;transactional:12
Exaustores e insufladores portáteis,28,3546,69;33;34;46;95;98;98;85;100;100;98;97,task:2;informational:59;navigational:4;commercial:30;transactional:5
Utilidades para Casa,16,1506,24;37;47;39;36;39;32;32;99;33;100;92,task:3;informational:42;navigational:16;commercial:24;transactional:15
Kärcher Puzzi e Extratoras,19,801,88;100;100;99;96;98;97;50;51;51;51;50,task:2;informational:49;navigational:11;commercial:12;transactional:26
Torneiras com arejador,27,8332,19;25;26;31;99;100;100;74;75;75;75;75,task:2;informational:57;navigational:10;commercial:25;transactional:6
Aspiradores Dewalt 20V,18,353,33;47;49;60;58;66;50;91;100;94;85;85,task:3;informational:48;navigational:5;commercial:18;transactional:26
